Mois	jour	fruit	racine	fleur	feuille	NL	PL	Perigee	Nœud	montante	Descendante
1	1	0	1	0	0	0	0	0	0	0	1
1	2	0	1	0	0	0	0	0	0	0	1
1	3	0	1	0	0	0	0	0	0	0	1
1	4	0	1	0	0	0	0	0	0	0	1
1	5	0	0	1	0	0	0	0	0	0	1
1	6	0	0	0	1	0	0	0	0	0	1
1	7	0	0	0	1	0	0	0	0	0	1
1	8	0	0	0	1	0	0	0	0	0	1
1	9	1	0	0	0	0	0	0	0	1	0
1	10	1	0	0	0	1	0	0	0	1	0
1	11	0	1	0	0	0	0	0	0	1	0
1	12	0	1	0	0	0	0	0	0	1	0
1	13	0	0	1	0	0	0	0	0	1	0
1	14	0	0	0	1	0	0	0	1	1	0
1	15	0	0	0	1	0	0	1	0	1	0
1	16	0	0	0	1	0	0	0	0	1	0
1	17	1	0	0	0	0	0	0	0	1	0
1	18	1	0	0	0	0	0	0	0	1	0
1	19	0	1	0	0	0	0	0	0	1	0
1	20	0	1	0	0	0	0	0	0	1	0
1	21	0	1	0	0	0	0	0	0	1	0
1	22	0	0	1	0	0	0	0	0	0	1
1	23	0	0	1	0	0	0	0	0	0	1
1	24	0	0	0	1	0	1	0	0	0	1
1	25	1	0	0	0	0	0	0	0	0	1
1	26	1	0	0	0	0	0	0	0	0	1
1	27	1	0	0	0	0	0	0	1	0	1
1	28	0	1	0	0	0	0	0	0	0	1
1	29	0	1	0	0	0	0	0	0	0	1
1	30	0	1	0	0	0	0	0	0	0	1
1	31	0	1	0	0	0	0	0	0	0	1
2	1	0	0	1	0	0	0	0	0	0	1
2	2	0	0	0	1	0	0	0	0	0	1
2	3	0	0	0	1	0	0	0	0	0	1
2	4	0	0	0	1	0	0	0	0	0	1
2	5	1	0	0	0	0	0	0	0	1	0
2	6	1	0	0	0	0	0	0	0	1	0
2	7	0	1	0	0	0	0	0	0	1	0
2	8	0	1	0	0	1	0	0	0	1	0
2	9	0	0	1	0	0	0	0	0	1	0
2	10	0	0	1	0	0	0	0	1	1	0
2	11	0	0	0	1	0	0	1	0	1	0
2	12	0	0	0	1	0	0	0	0	1	0
2	13	1	0	0	0	0	0	0	0	1	0
2	14	1	0	0	0	0	0	0	0	1	0
2	15	0	1	0	0	0	0	0	0	1	0
2	16	0	1	0	0	0	0	0	0	1	0
2	17	0	1	0	0	0	0	0	0	1	0
2	18	0	0	1	0	0	0	0	0	0	1
2	19	0	0	1	0	0	0	0	0	0	1
2	20	0	0	0	1	0	0	0	0	0	1
2	21	1	0	0	0	0	0	0	0	0	1
2	22	1	0	0	0	0	1	0	0	0	1
2	23	1	0	0	0	0	0	0	0	0	1
2	24	0	1	0	0	0	0	0	1	0	1
2	25	0	1	0	0	0	0	0	0	0	1
2	26	0	1	0	0	0	0	0	0	0	1
2	27	0	1	0	0	0	0	0	0	0	1
2	28	0	0	1	0	0	0	0	0	0	1
2	29	0	0	1	0	0	0	0	0	0	1
3	1	0	0	0	1	0	0	0	0	0	1
3	2	0	0	0	1	0	0	0	0	0	1
3	3	1	0	0	0	0	0	0	0	0	1
3	4	1	0	0	0	0	0	0	0	1	0
3	5	0	1	0	0	0	0	0	0	1	0
3	6	0	1	0	0	0	0	0	0	1	0
3	7	0	0	1	0	0	0	0	0	1	0
3	8	0	0	1	0	0	0	0	0	1	0
3	9	0	0	1	0	1	0	0	1	1	0
3	10	0	0	0	1	0	0	1	0	1	0
3	11	0	0	0	1	0	0	0	0	1	0
3	12	1	0	0	0	0	0	0	0	1	0
3	13	0	1	0	0	0	0	0	0	1	0
3	14	0	1	0	0	0	0	0	0	1	0
3	15	0	1	0	0	0	0	0	0	1	0
3	16	0	0	1	0	0	0	0	0	0	1
3	17	0	0	1	0	0	0	0	0	0	1
3	18	0	0	0	1	0	0	0	0	0	1
3	19	0	0	0	1	0	0	0	0	0	1
3	20	1	0	0	0	0	0	0	0	0	1
3	21	1	0	0	0	0	0	0	0	0	1
3	22	1	0	0	0	0	0	0	1	0	1
3	23	0	1	0	0	0	1	0	0	0	1
3	24	0	1	0	0	0	0	0	0	0	1
3	25	0	1	0	0	0	0	0	0	0	1
3	26	0	0	1	0	0	0	0	0	0	1
3	27	0	0	1	0	0	0	0	0	0	1
3	28	0	0	0	1	0	0	0	0	0	1
3	29	0	0	0	1	0	0	0	0	0	1
3	30	0	0	0	1	0	0	0	0	0	1
3	31	1	0	0	0	0	0	0	0	1	0
4	1	1	0	0	0	0	0	0	0	1	0
4	2	0	1	0	0	0	0	0	0	1	0
4	3	0	1	0	0	0	0	0	0	1	0
4	4	0	0	1	0	0	0	0	0	1	0
4	5	0	0	1	0	0	0	0	1	1	0
4	6	0	0	0	1	0	0	0	0	1	0
4	7	0	0	0	1	1	0	1	0	1	0
4	8	1	0	0	0	0	0	0	0	1	0
4	9	1	0	0	0	0	0	0	0	1	0
4	10	0	1	0	0	0	0	0	0	1	0
4	11	0	1	0	0	0	0	0	0	1	0
4	12	0	0	1	0	0	0	0	0	1	0
4	13	0	0	1	0	0	0	0	0	0	1
4	14	0	0	0	1	0	0	0	0	0	1
4	15	0	0	0	1	0	0	0	0	0	1
4	16	1	0	0	0	0	0	0	0	0	1
4	17	1	0	0	0	0	0	0	0	0	1
4	18	1	0	0	0	0	0	0	1	0	1
4	19	0	1	0	0	0	0	0	0	0	1
4	20	0	1	0	0	0	0	0	0	0	1
4	21	0	1	0	0	0	0	0	0	0	1
4	22	0	1	0	0	0	1	0	0	0	1
4	23	0	0	1	0	0	0	0	0	0	1
4	24	0	0	0	1	0	0	0	0	0	1
4	25	0	0	0	1	0	0	0	0	0	1
4	26	0	0	0	1	0	0	0	0	0	1
4	27	1	0	0	0	0	0	0	0	1	0
4	28	1	0	0	0	0	0	0	0	1	0
4	29	0	1	0	0	0	0	0	0	1	0
4	30	0	1	0	0	0	0	0	0	1	0
5	1	0	0	1	0	0	0	0	0	1	0
5	2	0	0	1	0	0	0	0	0	1	0
5	3	0	0	0	1	0	0	0	1	1	0
5	4	0	0	0	1	0	0	0	0	1	0
5	5	0	0	0	1	0	0	0	0	1	0
5	6	1	0	0	0	1	0	1	0	1	0
5	7	0	1	0	0	0	0	0	0	1	0
5	8	0	1	0	0	0	0	0	0	1	0
5	9	0	1	0	0	0	0	0	0	1	0
5	10	0	0	1	0	0	0	0	0	0	1
5	11	0	0	1	0	0	0	0	0	0	1
5	12	0	0	0	1	0	0	0	0	0	1
5	13	1	0	0	0	0	0	0	0	0	1
5	14	1	0	0	0	0	0	0	0	0	1
5	15	1	0	0	0	0	0	0	1	0	1
5	16	0	1	0	0	0	0	0	0	0	1
5	17	0	1	0	0	0	0	0	0	0	1
5	18	0	1	0	0	0	0	0	0	0	1
5	19	0	1	0	0	0	0	0	0	0	1
5	20	0	0	1	0	0	0	0	0	0	1
5	21	0	0	1	0	0	1	0	0	0	1
5	22	0	0	0	1	0	0	0	0	0	1
5	23	0	0	0	1	0	0	0	0	0	1
5	24	1	0	0	0	0	0	0	0	0	1
5	25	1	0	0	0	0	0	0	0	1	0
5	26	1	0	0	0	0	0	0	0	1	0
5	27	0	1	0	0	0	0	0	0	1	0
5	28	0	1	0	0	0	0	0	0	1	0
5	29	0	0	1	0	0	0	0	0	1	0
5	30	0	0	1	0	0	0	0	1	1	0
5	31	0	0	0	1	0	0	0	0	1	0
6	1	0	0	0	1	0	0	0	0	1	0
6	2	1	0	0	0	0	0	0	0	1	0
6	3	1	0	0	0	0	0	1	0	1	0
6	4	0	1	0	0	0	0	0	0	1	0
6	5	0	1	0	0	1	0	0	0	1	0
6	6	0	0	1	0	0	0	0	0	0	1
6	7	0	0	1	0	0	0	0	0	0	1
6	8	0	0	0	1	0	0	0	0	0	1
6	9	0	0	0	1	0	0	0	0	0	1
6	10	1	0	0	0	0	0	0	0	0	1
6	11	1	0	0	0	0	0	0	0	0	1
6	12	0	1	0	0	0	0	0	1	0	1
6	13	0	1	0	0	0	0	0	0	0	1
6	14	0	1	0	0	0	0	0	0	0	1
6	15	0	1	0	0	0	0	0	0	0	1
6	16	0	0	1	0	0	0	0	0	0	1
