						Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Advanced Nutrients	Aptus	Aptus	Aptus	Aptus	Aptus	Aptus	Aptus	Aptus	Aptus	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Atami	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Nova	Bio Bizz	Bio Bizz	Bio Bizz	Bio Bizz	Bio Bizz	Bio Bizz	Bio Bizz	Biocanna	Biocanna	Biocanna	Biocanna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Canna	Cellmax	Cellmax	Cellmax	Cellmax	Cellmax	Cellmax	Cellmax	Cellmax	Cellmax	Cellmax	Cellmax	AHH	AHH	AHH	AHH	AHH	Dutch Master	Dutch Master	Dutch Master	Dutch Master	Dutch Master	Dutch Master	Dutch Master	Dutch Master	Dutch Master	Dutch Master	Earth Juice	Earth Juice	Earth Juice	Earth Juice	Earth Juice	Ecolizer	Ecolizer	Ecolizer	Ecolizer	Ecolizer	Ferro	Ferro	Ferro	Ferro	Ferro	Ferro	Ferro	Ferro	Ferro	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GHE	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GP Biotechnology	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GTK	GRT	GRT	GRT	GRT	GRT	GRT	GRT	GRT	GRT	GRT	GRT	GRT	GUANOKALONG	GUANOKALONG	GUANOKALONG	GUANOKALONG	GUANOKALONG	Hesi	Hesi	Hesi	Hesi	Hesi	Hesi	Hesi	Hesi	Hesi	Hesi	Hesi	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	House Garden	HY Pro	HY Pro	HY Pro	HY Pro	HYD	HYD	HYD	HYD	Metrop	Metrop	Metrop	Metrop	Metrop	Metrop	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Plagron	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	Platinium Nutrients	VGA	VGA	VGA	VGA	VGA	VGA	VGA	VGA	VGA	VGA	VGA	Vers Land	Vers Land	Vers Land	Vers Land	Vers Land	Vitalink	Vitalink	Vitalink	Vitalink	Vitalink	Vitalink	Vitalink	Vitalink	Vitalink	Vitalink	HYD	GRT	Cellmax	Cellmax	House Garden	House Garden	House Garden	Plagron	Plagron	GHE	AHH	AHH	GRT	GRT
Marque	Programme	Substrat	Semaine	Remarque	Ec	B-52	Big Bud	Bud Blood	Bud Candy	Bud Factor X	Bud Ignitor	Carboload	Connoisseur	Enggy GranDutch Master's F1	Enggy GranDutch Master's H2	Final Phase	Hammerhead	IGUANOKALONGna Juice	Juicy Roots	Kushie Kush	Micro-Grow-Bloom	Mother Earth	Nirvana	NoShock	Organic B	Overdrive	Piranha	Revive	Rhino Skin	Sensi Grow Bloom	SensiZym	Tarantula	Voodoo Juice	Wet Betty	Dislike	K-Boost	Micromix Soil	Mycor Mix	Regulator	Soil Attack Liquid	StartBooster	Super PK	TopBooster	Alga-C	Atami PK 13/14	Atami Rootfast	AWA Leaves A B	AWA Max A B	B'cuzz Coco A B	B'cuzz Hydro A B	B'cuzz Soil A B	Bloombastic	Bloomstimulator	Coco Bloomstimulator	Coco Booster	Coco Max A B	Flavor	Flower-C	Root-C	Rootstimulator	Soil Booster	Terra Leaves	Terra Max	Aqua supermix	Autoflowering Supermix	Azote N27	Bio forte	BN CA 15	BN P 20%	Hebdo spray	Hydro Supermix	Mg 8%	Mix algues	N27	Nutrinova A+B	PK 13-14	Potatium K	Sol Supermix	The missing Link	Vitrasol	Alg-A-mic	Bio-Bloom	Bio-grow	Bioheaven	Fish-Mix	RootJuice	Topmax	BioBoost	BioFlores	BioRhizotonic	BioVega	AkTRIvator	Aqua Flores	Aqua Vega	CannaBoost	Coco A B	Flush	PK 13/14	Start	CannaZym	CoGr Buffer Agent	CoGr Flores	CoGr Vega	Hydro Flores	Hydro Vega	Mono CALCIUM	Rhizotonic	Terra Flores	Terra Vega	Bio Organic Bloom	Bio Organic Grow	Coco-Bloom	Coco-Grow	Earth-Bloom Mix	Earth-Grow Mix	Hydro Bloom	Hydro Grow	Leaf-spray	PK Booster	Roots Booster	Enzymes+	Final Solution	Grow	Growth Bloom Excellerator	Root Stimulator	ADD.27	Dutch Master Replicator	Gold Range Nutrient	Gold Range One	Liquid Light	Potash +	Reverse	Saturator	Silica	Zone	Briximus Maximus	CAtamilyst	Flowering	Grand Finale	Leaf Grow	Basics A+B	Bloom Up	Grow Up	Root Up	Top Up	Bio Crop	Bio Roots	Bloom A B	Coco Bloom A B	Coco Grow A B	Enracinement A B	Enzym Plus	Grow A B	PK BloomBooster	Bio Bloom	Bio Boosters	BioBud	BioRoot Plus	BioSevia Bloom	BioSevia Grow	BioThrive Bloom	BioThrive Grow	BioWeed	BioWorm	Diamond Black	Diamond Nectar	Flora Bloom	Flora Gro	Flora Kleen	Flora Mato	Flora Micro	Flora Micro Hard	FloraDuo Bloom	FloraDuo Grow	FloraNova Bloom	FloraNova Grow	Mineral Magic	Ripen	Urtica	Amino Plus	Blooming Enhancer	CAtamilysator	DecalFlo	Diamond Blooming	Final Flushing	Bio Roots	Inductor X	Kit PK/Flo	Micro-Mix	Orgamin 1 Croissance	Orgamin 2 Floraison	PK 13-14	PK 52-34	PK Phase 2	Seed Starter	BlackPearl	Blossom Blaster	Bud Fuel	Cal-Max	Carbo-Max	Final Flush	FishPlus	FishPlus Bloom	GrowthMax	Heavy Bud	Hydrozyme	Insta-Green	Kick Start	LXR Black	LXR Gold	Monster Bloom	Monster Grow	Oxy Cal	Pro-Silicate	Solo-Tek Bloom	Solo-Tek Grow	Vegetative Growth Booster	VitaMax	Vitamax Plus	Clonex	Formulex	Green Fuse Bloom	Green Fuse grow	Green Fuse Root	Green Myst Humic	Ionic Boost	Ionic Hydro Bloom	Ionic Hydro Grow	Ionic SOIL Bloom	Ionic SOIL grow	SuperDrive	Poudre	Bloom	Granulés	Grow	Taste improver	ClonFix	Coco	Complexe Floraison	Complexe Racinaire	Hydro Croissance	Hydro Floraison	Phospore Plus	PK 13/14	PowerZyme	SuperVit	TNT Complexe	Aqua Flakes A B	BactoForce	Bud XL	Coco A B	Drip Clean	Hydro A B	Magic Green	MgO 8%	Multi Enzym	PK 13/14	Roots Excelurator	Shooting Powder	Sporen Mix	Terre A B	Terre Bio 1-Component	Top Booster	Top Shooter	Root Stimulator	Spray Mix	Terre 1 Composant	Hydro A B	Flowering Stage	Massive Bloom	Vegetative Grow	Xtra Roots	Amino Bloom	Amino Root	CalGreen	MAM8	MR-1	MR-2	Alga-Bloom	Alga-Grow	Alga-Press 8%	Alga-Total	Diamond Shield (Bio protect)	Coco A	Vita Start (Cropspray)	Fish force (Emulsion de poisson)	Enzymes	Green Sensation	Neem Oil	Vita Race (Phyt-Amin)	Hydro A	PK 13-14	Micro kill (Preventive Concentrate)	Protifert	Sugar Royal (Repro Forte)	Power Roots	Seed Booster Plus	Start-Up	Terra Bloom	Terra Grow	Yucca	AlGUANOKALONGmix	EnergyMax	EnzyMax Booster 3 en 1	Humic Fulvic Integral	Hydro Milk Bloom	Hydro Milk Grow	Monster PK 0/52/34	Organic Bloom	Organic Grow	Roots+ Organic	Special Agent	Sun Resist	Superboost Bloom	Supergrow 17/44/0	Pachamama Bloom	Pachamama Grow	Phase 1	Phase 2	Phase 3	Phase 4	Élément 1	Élément 2	Élément 3	Élément 4	Élément 5	Bouillie De Bouturage	Or fleurs liquide	Or vers	Purin d'orties	Super croissance	BioPac	BioPlus	Buddy	Earth Grow   Bloom	Easy Grow   Bloom	Flush	Foliar	Fulvic	Max A B	PlantStart	Liquid ocean	Nitrozyme	Flower Stimulator	Super enzyme	Amino Treatment	Algen extract	Roots Stimulator	Hydro B	Coco B	Bioprotect	Micro	Bloom	Liquid Silicon	Liquid Oxygen
GHE	Aggressive	Hydro	Graines			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	2	0,66	0,66	0	0	0	0,66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHE	Aggressive	Hydro	Plantules			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	2	0,66	0,66	0	0	0	0,66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHE	Aggressive	Hydro	Boutures			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	2	0,66	0,66	0	0	0	0,66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHE	Aggressive	Hydro	Veg 18 h			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	2	0,66	3,305	0	0	0	1,98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHE	Aggressive	Hydro	Pass 12/12 			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1,32	3,965	0	0	0	2,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHE	Aggressive	Hydro	Strech			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1,32	3,965	0	0	0	2,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHE	Aggressive	Hydro	1ers pistils			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	2	2,64	2,64	0	0	0	2,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHE	Aggressive	Hydro	Debut Flo			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	0	2,64	2,64	0	0	0	2,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHE	Aggressive	Hydro	Floraison			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	0	5,285	0	0	0	0	2,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
